name,author,publication,year,classificationem,keywords
四川地区气溶胶光学厚度时空分布及其与气象因子的相关性分析,艾泽 陈权亮,《四川环境》,年  卷 期：2019年第38卷第4期,[工学-环境科学与工程类],四川 MODIS AOD 气象因子 相关性
辽宁环渤海地区非均匀下垫面夏季近地层微气象特征分析,赵婷 文小航,《气候变化研究快报》,年  卷 期：2019年第8卷第4期,[理学-大气科学类],辽宁环渤海地区 非均匀下垫面 微气象特征
东江中上游流域日照变化特征及其影响因素,曾钦文 谢玉仙 殷美祥 李思玲,《广东气象》,年  卷 期：2019年第41卷第4期,[理学-大气科学类],气候学 日照 气候变化 时空特征 东江中上游
两种陆面过程方案对辽宁环渤海地区气象要素模拟的对比研究,赵婷 文小航,《气候变化研究快报》,年  卷 期：2019年第8卷第4期,[理学-大气科学类],WRF模式 辽宁环渤海地区 地表气象要素
乌江流域精细化气象预报服务技术,胡跃文 唐延婧 夏晓玲 熊伟 向卫国 王俊超 吉廷艳,《中国科技成果》,年  卷 期：2019年第15期,[理学-大气科学类],乌江流域 精细化 服务技术 气象预报 气象服务系统 水系分布 防灾减灾工作 地方经济建设
2018年初冬成都市重污染事件气象条件分析,唐玉章 许东蓓 苟玉清,《地球科学前沿（汉斯）》,年  卷 期：2019年第9卷第7期,[工学-环境科学与工程类],重污染 气象条件 逆温层 温度平流
ECMWF高分辨率模式降水预报能力评估与误差分析,曹越 赵琳娜 巩远发 许东蓓 高迎娟,《暴雨灾害》,年  卷 期：2019年第38卷第3期,[理学-大气科学类],ECMWF高分辨率模式 降水预报 误差分析 集中度 R指数
两款区域自动气象站通信模块使用方法及故障排查,晁红艳 袁志强,《中低纬山地气象》,年  卷 期：2019年第43卷第3期,[理学-大气科学类],区域自动气象站 通讯模块 故障排查
成都地区一次重度雾霾过程的数值模拟研究,宁浩翔 张少波 韩沛沛,《气候变化研究快报》,年  卷 期：2019年第8卷第3期,[理学-大气科学类],PM 重度雾霾 数值预报 WRF-Chem模式 AQI PM  Smoggy Weather  Numerical Simulation  WRF-Chem Model  AQI
长江源区沱沱河流域1961-2011年径流特征及其对降水的滞后效应,罗玉 秦宁生 周斌 李金建 王春学 刘佳 庞轶舒,《水土保持通报》,年  卷 期：2019年第39卷第2期,[工学-水利类],沱沱河 径流 降水 相关关系
重庆市一次严重雾霾过程的阶段性特征及成因,郭洁 李牧原 周国兵 李国平,《中低纬山地气象》,年  卷 期：2019年第43卷第2期,[理学-大气科学类],重庆主城区 雾霾 空气污染物 气象条件
中国东部夏季降水与气温的联合EOF分析,郑金新 黎洛丝 郑嘉雯 郑菲菲,《广东气象》,年  卷 期：2019年第41卷第2期,[理学-大气科学类],气候学 降水 气温 联合EOF 回归分析 中国东部
