name,author,source,time,database,downloads,faculty,key_words,classification_number
基于运动筛选和3D卷积的视频早期烟雾检测 网络首发,高联欣;魏维;胡泳植;冯宇浩,计算机工程与应用,2019/9/20,期刊,47,成都信息工程大学计算机学院,早期烟雾; 颜色判断; 均值HASH; 多尺度3D卷积; ,TP391.41;TP183
基于深度学习的图像检索研究,杨馥溢;何嘉,计算机与数字工程,2019/9/20,期刊,130,成都信息工程大学计算机学院,深度学习; 深度卷积神经网络; 图像检索; 二进制描述符; ,TP391.41;TP18
互联网背景下儿童性健康教育的实践探索,朱新贤;郑紫悦;王紫溪;龚季兴,劳动保障研究会议论文集（二）,2019/9/20,中国会议,22,成都信息工程大学,互联网 ; 儿童 ; 性教育 ; 策略 ;,G627
移动互联网背景下的反腐舆情治理及对策,王华;向征,劳动保障研究会议论文集（二）,2019/9/20,中国会议,15,成都信息工程大学管理学院,网络反腐 ; 网络反腐舆情 ; 政府治理 ; 移动互联网 ;,D262.6;C912.63
基于群体智能的跨语言网络舆情文本聚类模型,韩楠;乔少杰;黄萍;彭京;周凯,重庆理工大学学报(自然科学),2019/9/15,期刊,38,成都信息工程大学管理学院成都信息工程大学软件工程学院四川省公安厅,群体智能; 跨语言; 文本聚类; 网络舆情; ,TP391.1;TP18
基于循环实体网络的细粒度情感分析,贾川;方睿;浦东;康刚,中文信息学报,2019/9/15,期刊,23,成都信息工程大学计算机学院,细粒度情感分析; 循环网络; 属性嵌入; ,TP391.1;TP183
基于时空域深度神经网络的野火视频烟雾检测,张斌;魏维;高联欣;宋岩贝;李佳欣,计算机应用与软件,2019/9/12,期刊,37,成都信息工程大学计算机学院,卷积神经网络; 循环神经网络; 时空域特征; 烟雾检测; ,TP391.41;TP183
基于完备集合经验模态分解-归一化希尔伯特变换的神经网络储层流体识别,张健;薛雅娟;常强;张莉萍,科学技术与工程,2019/9/8,期刊,27,成都信息工程大学通信工程学院中国石化地球物理重点实验室,BP神经网络; 储层识别; 经验模态分解; 瞬时属性; 分频剖面模型; ,P631.4;P618.13
贫困农户的风险分担网络及其有效性研究——基于中国农村家庭数据的实证,王阳;漆雁斌,四川农业大学学报,2019/8/28,期刊,56,成都信息工程大学统计学院四川农业大学经济学院,贫困; 农户; 风险分担网络; 影响机制; ,F323.8
深度学习在医学图像配准上的研究进展与挑战,邹茂扬;杨昊;潘光晖;钟勇,生物医学工程学杂志,2019/8/25,期刊,181,成都信息工程大学中国科学院大学成都计算机应用研究所,医学图像配准; 深度学习; 卷积神经网络; 全卷积网络; ,TP391.41;TP18
构建地方政府网络理政绩效评估指标体系,张雄;刘锦扬;朱胜,商业经济,2019/8/20,期刊,78,成都信息工程大学统计学院,地方政府; 网络理政; 绩效评估; 构建思路; 研究结论; ,D63
基于深度学习的通信信号调制方式识别,侯涛;郑郁正,无线电工程,2019/8/20,期刊,285,成都信息工程大学,人工智能; 深度学习; 调制; 识别; ,TN911.3;TP181
基于SPSS软件的DMTree方法分析重购客户特征,岛宁,科技风,2019/8/19,期刊,83,成都信息工程大学银杏酒店管理学院,SPSS; 电子商务; 重购客户; ,F724.6;O212
基于5G的毫米波Massive MIMO基本构架综述,徐爽;宋婷;杜江;叶承乾,信息与电脑(理论版),2019/8/15,期刊,86,成都信息工程大学,5G; mmWave; Massive MIMO; ,TN929.5
休闲体育产业互联网化思维模式的变革,张和莉;潘丹旎,四川体育科学,2019/8/15,期刊,119,成都信息工程大学重庆大学,休闲体育; 体育产业; 互联网; 思维模式; ,G80-05
基于循环神经网络的微博转发行为预测,穆圣坤;张路桥;滕彩峰,计算机系统应用,2019/8/15,期刊,91,成都信息工程大学网络空间安全学院,循环神经网络; 微博转发行为; 文本相似度; 粉丝兴趣; 转发趋势度; ,TP393.092;TP183
基于生成对抗网络的无人机图像道路提取,何磊;李玉霞;彭博;吴焕萍,电子科技大学学报,2019/7/30,期刊,178,成都信息工程大学软件工程学院软件自动生成与智能服务四川省重点实验室电子科技大学自动化工程学院电子科技大学广东电子信息工程研究院国家气候中心业务系统发展与运控室,生成对抗网络; 图像处理; 道路提取; 无人机图像; ,TP391.41
大学生网络学习行为影响因素研究——基于TAM模型,王臣;杨露,电脑知识与技术,2019/7/15,期刊,106,成都信息工程大学统计学院,大学生; 网络学习行为; 相关性分析; 技术采纳模型; ,G434;G642
智能通讯网络敏感信息连接可靠性监测仿真,倪铉珣,计算机仿真,2019/7/15,期刊,11,成都信息工程大学银杏酒店管理学院,智能通讯网络; 敏感信息; 可靠性监测; ,TP309
基于深度学习的轻量型的人体动作识别模型 网络首发,何冰倩;魏维;张斌,计算机应用研究,2019/7/10,期刊,216,成都信息工程大学计算机学院成都信息工程大学软件工程学院,深度学习; 图像处理; 卷积神经网络; 动作识别; ,TP391.41;TP18
对加掩加密算法的盲掩码模板攻击,王燚;吴震;蔺冰,通信学报,2019/1/25,期刊,85,成都信息工程大学网络空间安全学院,侧信道攻击; 模板攻击; 盲掩码攻击; 加掩防护; 神经网络; ,TP309.7
PTN中网络负荷变化对CES ACR时钟恢复影响的补偿算法,孙捷;姚尧;曹睿,成都信息工程大学学报,2018/12/15,期刊,6,成都信息工程大学通信工程学院,电路仿真业务; 自适应时钟恢复; 网络负荷变化; 报文时延差异; 分组传送网; ,TN915.0
网络语境下茶文化传承对羌绣数字化保护的启示,罗盈;刘婧;向伶梅,福建茶叶,2019/1/25,期刊,48,成都信息工程大学文化艺术学院,网络; 羌绣; 茶文化; 传承; ,J523.6;TP393.09
基于改进的深度卷积神经网络的人体动作识别方法,陈胜娣;魏维;何冰倩;陈思宇;刘基缘,计算机应用研究,2018/2/9,期刊,978,成都信息工程大学计算机学院,动作识别; 批归一化; 深度学习; 卷积神经网络; ,TP391.41;TP183
自媒体时代下网络营销的发展趋势研究,李付,现代营销(下旬刊),2019/2/21,期刊,1663,成都信息工程大学银杏酒店管理学院,自媒体; 网络营销; 发展趋势; ,F274
异构联盟系统中基于二层区块链的用户信任协商模型,杨敏;张仕斌;张航;刘宁;甘波,应用科学学报,2019/3/30,期刊,84,成都信息工程大学网络空间安全学院四川嘉陵江小龙门航电开发有限公司,异构联盟系统; 二层区块链; 信任协商; 可信评估; ,TP309;TP311.13
农业经济增长新引擎:网络普及、教育投资抑或制度变革——基于2003—2015年省域面板数据的实证研究,王阳;温虎,江苏农业科学,2019/3/8,期刊,220,成都信息工程大学商学院,基础设施建设; 互联网; 人力资本; 制度改革; Griliches函数; ,F323
网络空间安全创新人才培养体系的构建与实践,吴春旺;李飞;张路桥,无线互联科技,2019/2/10,期刊,83,成都信息工程大学网络空间安全学院,网络空间安全; 学科建设; 人才培养体系; ,G642;TP393.08-4
级联残差学习的红外图像非均匀性校正方法,赖睿;官俊涛;徐昆然;熊皑;杨银堂,西安电子科技大学学报,2018/7/27,期刊,138,西安电子科技大学微电子学院成都信息工程大学控制工程学院,深度学习; 非均匀性校正; 图像去噪; 红外图像处理; ,TP391.41;TN215
一种改进型卷积神经网络的图像分类方法,张斌;王强,成都信息工程大学学报,2019/2/15,期刊,170,成都信息工程大学计算机学院国网四川省电力公司德阳供电公司,深度学习; 卷积神经网络; 图像分类; 激活函数; ,TP391.41;TP18
基于Python的网络聊天室设计,邓亚君;杨刚;翁文斌;邱泸谊,电子技术与软件工程,2019/3/20,期刊,536,四川省成都市西华大学四川省成都信息工程大学,网络通信; socket; 多线程; GUI界面; ,TP311.52
新工科要求下的地方高校网络工程专业建设思路,李飞,计算机教育,2019/4/10,期刊,173,成都信息工程大学网络空间安全学院,新工科; 地方院校; 网络工程; 能力培养; 产教协同; ,G642.3;TP393-4
我国P2P平台网贷成功率影响因素的实证分析——以人人贷平台为例,秦茜;熊健益;熊晓炼,时代金融,2019/2/20,期刊,177,成都信息工程大学统计学院贵州大学经济学院,P2P网络借贷; 成功率; 影响因素; ,F832.4;F724.6
国内企业自建跨境电商网站的推广方案研究——在“一带一路”背景下,何润鑫;朱皓云,中国商论,2019/4/18,期刊,517,成都信息工程大学物流学院,“一带一路”; 跨境电商; 网站推广; 适配度模型; ,F724.6
基于OpenCV和人工神经网络的手机拍照OCR优化方案,张衡;孙捷;贺龙周;赵心越,科学技术创新,2019/5/25,期刊,99,成都信息工程大学,Densenet; OpenCV; OCR; ,TP391.41;TP183
分布式储能系统参与调压的主动配电网两段式电压协调控制策略,张江林;庄慧敏;刘俊勇;高红均;张里,电力自动化设备,2019/5/8,期刊,328,四川大学电气信息学院成都信息工程大学控制工程学院国网四川省电力公司技能培训中心国网四川省电力公司成都供电公司,主动配电网; 分布式储能系统; 两阶段优化; 锥优化算法; 分散控制; ,TM73
基于业务逻辑思想的异常检测研究,蒋梦丹;林宏刚;曹鹤鸣,成都信息工程大学学报,2019/4/15,期刊,17,成都信息工程大学网络空间安全学院,业务逻辑; 异常检测; 流量分析; 网站结构; 访问信息; ,TP393.08
实体店销售与网购融合的现状及其前景调查分析,张佳程;刘苒苒;杨琦;罗龙州;尹森林,现代营销(经营版),2019/5/16,期刊,201,成都信息工程大学,线上线下融合; 实体销售和网购; 销售模式; 实体零售创新转型; ,F721;F724.6
基于互联网背景下乡村旅游新业态模式研究——以成都三圣乡为例,蒋诗姣;杨柳;李春琼;黄萍,度假旅游,2019/4/15,期刊,139,成都信息工程大学管理学院,互联网+; 乡村旅游; 成都; 三圣乡; 乡村振兴战旅; ,F592.7
利用人工神经网络模型预测西北太平洋热带气旋生成频数,海滢;陈光华,气候与环境研究,2019/5/20,期刊,59,成都信息工程大学大气科学学院中国科学院大气物理研究所季风系统研究中心,人工神经网络; 热带气旋; 西北太平洋; 频数; ,P732.3
规范变换与误差修正结合的环境系统的前向网络和投影寻踪预测模型,李祚泳;汪嘉杨;徐源蔚,环境科学学报,2018/8/29,期刊,72,成都信息工程大学资源环境学院,环境系统; 规范变换; 预测模型; 前向神经网络; 投影寻踪回归; ,X32
翻译目的论视角下2018汉语网络流行语英译分析,孙东梅;张悦言,国际公关,2019/4/15,期刊,235,成都信息工程大学银杏酒店管理学院,汉语网络流行语; 翻译目的论; 英译方法; ,H315.9
"产学协同,构建“四位一体”的信息安全人才培养体系",李飞;吴春旺;王娟;王祖俪,才智,2019/6/20,期刊,91,成都信息工程大学网络空间安全学院,信息安全; 产学协同; 四位一体; 人才培养体系; ,G203-4;G642
