"","kml_s_e","kml_e","kml_s","Lng","Lat","Lng_e","Lat_e","count"
"1","1016_821",821,1016,104.6600788,31.5128526,104.7620381,31.4882639,17
"2","118_135",135,118,104.7674238,31.4362287,104.7654496,31.4413548,21
"3","118_237",237,118,104.7674238,31.4362287,104.7523913,31.4520034,13
"4","118_260",260,118,104.7674238,31.4362287,104.7575349,31.4534645,16
"5","118_349",349,118,104.7674238,31.4362287,104.7376795,31.4573698,11
"6","118_479",479,118,104.7674238,31.4362287,104.7527998,31.4642013,13
"7","118_516",516,118,104.7674238,31.4362287,104.7406819,31.4655495,19
"8","118_67",67,118,104.7674238,31.4362287,104.7722805,31.4250537,23
"9","118_927",927,118,104.7674238,31.4362287,104.7735466,31.4981568,15
"10","133_351",351,133,104.6728452,31.440843,104.6124199,31.4576314,29
"11","133_500",500,133,104.6728452,31.440843,104.6209012,31.464642,26
"12","135_135",135,135,104.7654496,31.4413548,104.7654496,31.4413548,20
"13","135_368",368,135,104.7654496,31.4413548,104.7070146,31.4584759,21
"14","135_479",479,135,104.7654496,31.4413548,104.7527998,31.4642013,14
"15","135_548",548,135,104.7654496,31.4413548,104.6856626,31.4673085,11
"16","135_67",67,135,104.7654496,31.4413548,104.7722805,31.4250537,11
"17","135_915",915,135,104.7654496,31.4413548,104.7343212,31.4966375,11
"18","161_135",135,161,104.7518636,31.4453519,104.7654496,31.4413548,23
"19","161_199",199,161,104.7518636,31.4453519,104.7601253,31.4498679,15
"20","161_283",283,161,104.7518636,31.4453519,104.6450484,31.4546259,12
"21","161_519",519,161,104.7518636,31.4453519,104.7429271,31.4654325,11
"22","161_56",56,161,104.7518636,31.4453519,104.7634654,31.4220348,12
"23","161_67",67,161,104.7518636,31.4453519,104.7722805,31.4250537,29
"24","161_791",791,161,104.7518636,31.4453519,104.7300507,31.486623,11
"25","161_915",915,161,104.7518636,31.4453519,104.7343212,31.4966375,12
"26","187_67",67,187,104.7515414,31.4488417,104.7722805,31.4250537,12
"27","199_199",199,199,104.7601253,31.4498679,104.7601253,31.4498679,19
"28","199_67",67,199,104.7601253,31.4498679,104.7722805,31.4250537,15
"29","199_915",915,199,104.7601253,31.4498679,104.7343212,31.4966375,12
"30","234_118",118,234,104.7080299,31.451863,104.7674238,31.4362287,16
"31","234_135",135,234,104.7080299,31.451863,104.7654496,31.4413548,18
"32","234_500",500,234,104.7080299,31.451863,104.6209012,31.464642,17
"33","234_517",517,234,104.7080299,31.451863,104.7489154,31.4663021,11
"34","234_67",67,234,104.7080299,31.451863,104.7722805,31.4250537,19
"35","234_927",927,234,104.7080299,31.451863,104.7735466,31.4981568,25
"36","248_927",927,248,104.7428198,31.4526103,104.7735466,31.4981568,14
"37","277_351",351,277,104.7189925,31.4545212,104.6124199,31.4576314,11
"38","277_368",368,277,104.7189925,31.4545212,104.7070146,31.4584759,12
"39","277_927",927,277,104.7189925,31.4545212,104.7735466,31.4981568,18
"40","290_199",199,290,104.7713105,31.4547416,104.7601253,31.4498679,11
"41","291_135",135,291,104.7321556,31.4547659,104.7654496,31.4413548,17
"42","291_219",219,291,104.7321556,31.4547659,104.6713983,31.4511857,15
"43","291_291",291,291,104.7321556,31.4547659,104.7321556,31.4547659,51
"44","291_351",351,291,104.7321556,31.4547659,104.6124199,31.4576314,13
"45","291_389",389,291,104.7321556,31.4547659,104.6219992,31.4592982,11
"46","291_500",500,291,104.7321556,31.4547659,104.6209012,31.464642,17
"47","291_548",548,291,104.7321556,31.4547659,104.6856626,31.4673085,26
"48","291_566",566,291,104.7321556,31.4547659,104.6792753,31.4681151,13
"49","291_67",67,291,104.7321556,31.4547659,104.7722805,31.4250537,16
"50","291_915",915,291,104.7321556,31.4547659,104.7343212,31.4966375,14
"51","291_927",927,291,104.7321556,31.4547659,104.7735466,31.4981568,41
"52","291_938",938,291,104.7321556,31.4547659,104.7328988,31.50017,13
"53","317_118",118,317,104.7292506,31.456155,104.7674238,31.4362287,11
"54","317_56",56,317,104.7292506,31.456155,104.7634654,31.4220348,11
"55","317_67",67,317,104.7292506,31.456155,104.7722805,31.4250537,22
"56","317_927",927,317,104.7292506,31.456155,104.7735466,31.4981568,14
"57","318_135",135,318,104.7120913,31.4561485,104.7654496,31.4413548,14
"58","318_318",318,318,104.7120913,31.4561485,104.7120913,31.4561485,12
"59","318_351",351,318,104.7120913,31.4561485,104.6124199,31.4576314,12
"60","318_500",500,318,104.7120913,31.4561485,104.6209012,31.464642,13
"61","335_118",118,335,104.7159895,31.4568731,104.7674238,31.4362287,11
"62","335_135",135,335,104.7159895,31.4568731,104.7654496,31.4413548,12
"63","335_351",351,335,104.7159895,31.4568731,104.6124199,31.4576314,13
"64","335_67",67,335,104.7159895,31.4568731,104.7722805,31.4250537,15
"65","349_500",500,349,104.7376795,31.4573698,104.6209012,31.464642,13
"66","349_927",927,349,104.7376795,31.4573698,104.7735466,31.4981568,11
"67","351_351",351,351,104.6124199,31.4576314,104.6124199,31.4576314,33
"68","355_283",283,355,104.7571804,31.4577767,104.6450484,31.4546259,13
"69","368_118",118,368,104.7070146,31.4584759,104.7674238,31.4362287,18
